epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,5507.5,1.53937,1.03154,0.00794,0.81943,0.68487,0.77861,0.44771,1.54641,0.9597,0.01317,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5589.13,1.53908,1.02714,0.00792,0.81891,0.68595,0.77904,0.44812,1.54632,0.9588,0.01317,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5671.17,1.53391,1.0264,0.00789,0.81959,0.68589,0.77917,0.44826,1.54641,0.9586,0.01317,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5753.12,1.53686,1.02708,0.00784,0.81797,0.68679,0.77936,0.44839,1.54688,0.95735,0.01317,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5835.15,1.53149,1.02102,0.00784,0.81781,0.68704,0.7793,0.44839,1.54672,0.95732,0.01317,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5916.85,1.53184,1.02256,0.00787,0.81845,0.68714,0.77945,0.4485,1.54682,0.95613,0.01317,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5999.07,1.52942,1.01613,0.00786,0.81833,0.68773,0.77969,0.44858,1.54693,0.95579,0.01317,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6081.23,1.52658,1.01516,0.00787,0.82016,0.68666,0.77961,0.44855,1.5467,0.95534,0.01317,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6162.69,1.52296,1.0109,0.00779,0.81956,0.68677,0.77959,0.44855,1.54639,0.95467,0.01316,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6244.89,1.5214,1.00776,0.00777,0.81982,0.68667,0.77955,0.44837,1.54633,0.9533,0.01316,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6326.73,1.52201,1.00854,0.00775,0.81971,0.68723,0.77969,0.44877,1.54672,0.95277,0.01317,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6408.54,1.51473,1.0065,0.0078,0.82041,0.68717,0.77971,0.44876,1.54681,0.9521,0.01317,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6490.7,1.52237,1.00645,0.00771,0.82064,0.68733,0.78004,0.4489,1.54665,0.952,0.01316,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6572.94,1.51243,1.00223,0.00775,0.82029,0.68729,0.78006,0.44919,1.54653,0.95159,0.01317,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6657.53,1.51239,0.99586,0.00768,0.8216,0.68709,0.7804,0.44918,1.54641,0.95065,0.01317,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6738.96,1.5081,0.99813,0.00776,0.82097,0.68783,0.78056,0.44913,1.54622,0.95053,0.01316,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6821.08,1.5059,0.99301,0.00766,0.82153,0.68751,0.78055,0.44906,1.54635,0.94975,0.01316,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6902.69,1.50748,0.992,0.00763,0.82148,0.68753,0.78051,0.44936,1.54637,0.94958,0.01317,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6984.84,1.50972,0.99088,0.00762,0.82153,0.6875,0.7806,0.44943,1.54616,0.94917,0.01316,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7066.71,1.5006,0.98996,0.00763,0.82028,0.68842,0.78064,0.44942,1.54617,0.94894,0.01317,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7149.17,1.50597,0.98977,0.00755,0.82179,0.68772,0.78085,0.44955,1.54604,0.94894,0.01317,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7230.97,1.49707,0.98588,0.00758,0.82268,0.68757,0.78075,0.44967,1.54625,0.94803,0.01317,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7312.62,1.49506,0.9823,0.00756,0.82131,0.68907,0.78094,0.44992,1.54585,0.94851,0.01316,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7396.07,1.4924,0.98316,0.00757,0.82253,0.688,0.78096,0.44998,1.54593,0.94765,0.01316,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7473.93,1.43511,0.88776,0.0079,0.82353,0.68792,0.7811,0.45009,1.5457,0.9472,0.01317,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7550.61,1.42978,0.87652,0.00779,0.82376,0.68789,0.78119,0.44989,1.54573,0.94722,0.01317,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7627.39,1.423,0.87473,0.00774,0.82248,0.68865,0.78115,0.44973,1.54568,0.94692,0.01316,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,7704.66,1.41391,0.86989,0.00773,0.82262,0.68852,0.78107,0.44969,1.54575,0.94653,0.01316,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,7781.65,1.41435,0.86672,0.00765,0.82262,0.68868,0.78112,0.44975,1.54601,0.94593,0.01316,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,7857.94,1.41025,0.86669,0.00763,0.82255,0.6888,0.78106,0.44953,1.54627,0.94594,0.01316,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,7934.67,1.4144,0.86306,0.00763,0.82342,0.6883,0.78119,0.44977,1.54664,0.94465,0.01316,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,8011.22,1.40569,0.8572,0.00763,0.82329,0.68838,0.78134,0.44977,1.54657,0.94427,0.01317,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8087.75,1.4055,0.85745,0.00761,0.82276,0.68876,0.78134,0.44986,1.54672,0.94364,0.01316,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,8164.28,1.4045,0.85899,0.00756,0.82302,0.68876,0.78138,0.44969,1.54688,0.94383,0.01316,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
