epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,5102.52,1.32668,0.78991,1.20653,0.83088,0.69524,0.78396,0.4448,1.40613,0.73244,1.3777,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5180.99,1.32181,0.78551,1.20708,0.83098,0.69546,0.78427,0.44499,1.4057,0.73196,1.37777,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5251.62,1.3273,0.79035,1.21058,0.83256,0.69499,0.78438,0.44484,1.40553,0.73165,1.37786,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5328.77,1.31965,0.78456,1.20537,0.83168,0.69569,0.78445,0.44498,1.40546,0.73113,1.37774,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,5408.49,1.32123,0.7845,1.20531,0.83172,0.69594,0.78462,0.44523,1.40523,0.73075,1.3779,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,5471.3,1.31664,0.78191,1.20156,0.83199,0.69595,0.78461,0.44517,1.40526,0.73034,1.378,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,5532.81,1.3144,0.78024,1.20094,0.83059,0.69708,0.78478,0.44533,1.40506,0.72996,1.37806,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,5593.68,1.3147,0.78016,1.2003,0.83035,0.69771,0.78491,0.44546,1.40494,0.7297,1.37797,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,5654.34,1.31118,0.77928,1.20214,0.83028,0.69793,0.7848,0.44533,1.40469,0.72954,1.37809,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,5715.18,1.31334,0.77836,1.19848,0.83012,0.69825,0.78512,0.44571,1.40462,0.72928,1.37811,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
