epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
57,9987.99,1.40572,0.87684,0.00696,0.84102,0.74265,0.82473,0.49654,1.44776,0.82303,0.01241,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10174.2,1.40465,0.87329,0.007,0.84281,0.74229,0.82471,0.49629,1.44709,0.82227,0.01241,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10361.1,1.40182,0.86878,0.00696,0.84213,0.74228,0.82507,0.49649,1.44672,0.82177,0.01239,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10547.8,1.40075,0.86693,0.00692,0.8423,0.7423,0.82538,0.49708,1.44739,0.81978,0.0124,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10733.9,1.39679,0.86341,0.00692,0.84303,0.7418,0.82541,0.49709,1.44736,0.81882,0.01239,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,10920.1,1.39192,0.86012,0.00693,0.84344,0.7427,0.82552,0.49723,1.44733,0.81858,0.0124,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11099.9,1.39297,0.85798,0.00688,0.84326,0.74321,0.82578,0.49734,1.44729,0.81787,0.0124,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11278.9,1.38258,0.85326,0.00688,0.84111,0.74457,0.82561,0.49742,1.44716,0.81807,0.01239,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11445,1.37775,0.85123,0.00682,0.84189,0.7448,0.8257,0.49739,1.44711,0.8172,0.0124,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11631.7,1.37814,0.85255,0.00678,0.84215,0.74485,0.82556,0.49728,1.447,0.81694,0.0124,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11804.8,1.37691,0.84552,0.00681,0.84348,0.7444,0.82577,0.49731,1.44663,0.81654,0.01239,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12000.1,1.37371,0.84425,0.00678,0.84254,0.74566,0.82573,0.49744,1.44683,0.81575,0.0124,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,12181.3,1.37277,0.83672,0.00678,0.84308,0.74535,0.82589,0.49761,1.4466,0.81579,0.0124,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,12380.6,1.37008,0.83724,0.0067,0.84318,0.74478,0.82591,0.49743,1.44627,0.81554,0.0124,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,12574.3,1.36174,0.83014,0.00668,0.84322,0.74541,0.82601,0.49759,1.44648,0.81479,0.0124,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
